I, [2016-03-01T10:56:31.349296 #8503]  INFO -- : Testing ----> [eXtplorer] http://209.123.98.171:80/com_extplorer_2.1.0/
I, [2016-03-01T10:56:31.499528 #8503]  INFO -- : Testing ----> [Splunk] https://209.123.98.171:443/en-US/app/launcher/home
I, [2016-03-01T10:56:31.633143 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/en-US/app/launcher/home} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:31.633198 #8503]  INFO -- : Testing ----> [Splunk] https://209.123.98.171:443/en-US/manager/search/apps/local
I, [2016-03-01T10:56:31.933431 #8503]  INFO -- : Testing ----> [Splunk] http://209.123.98.171:80/en-US/app/launcher/home
I, [2016-03-01T10:56:31.981951 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/en-US/app/launcher/home} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:31.982004 #8503]  INFO -- : Testing ----> [Splunk] http://209.123.98.171:80/en-US/manager/search/apps/local
I, [2016-03-01T10:56:32.115943 #8503]  INFO -- : Testing ----> [FreePBX] https://209.123.98.171:443/admin/admin/config.php?type=setup&display=general
I, [2016-03-01T10:56:32.307833 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/admin/admin/config.php?type=setup&display=general} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:32.307926 #8503]  INFO -- : Testing ----> [FreePBX] https://209.123.98.171:443/admin/admin/reports.php
I, [2016-03-01T10:56:32.499757 #8503]  INFO -- : Testing ----> [FreePBX] http://209.123.98.171:80/admin/admin/config.php?type=setup&display=general
I, [2016-03-01T10:56:32.631422 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/admin/admin/config.php?type=setup&display=general} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:32.631521 #8503]  INFO -- : Testing ----> [FreePBX] http://209.123.98.171:80/admin/admin/reports.php
I, [2016-03-01T10:56:32.761079 #8503]  INFO -- : Testing ----> [ManageEngine ServiceDesk Plus] https://209.123.98.171:443/WOListView.do
I, [2016-03-01T10:56:33.055416 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/WOListView.do} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:33.055707 #8503]  INFO -- : Testing ----> [ManageEngine ServiceDesk Plus] https://209.123.98.171:443/admin/admin/reports.php
I, [2016-03-01T10:56:33.232735 #8503]  INFO -- : Testing ----> [ManageEngine ServiceDesk Plus] http://209.123.98.171:80/WOListView.do
I, [2016-03-01T10:56:33.356415 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/WOListView.do} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:33.356509 #8503]  INFO -- : Testing ----> [ManageEngine ServiceDesk Plus] http://209.123.98.171:80/admin/admin/reports.php
